scenario,episode,original_mc_run,phase,phase_legacy,type,location,severity,action,recovery_plan,plan_length,plan_actions,applied,rejected_plan,rejected_reward,att_disrupted,att_recovered,improvement_att,CEF_disrupted,CEF_recovered,improvement_CEF,CEF2_disrupted,CEF2_recovered,improvement_CEF2,exposure_disrupted,exposure_recovered,improvement_exposure,dun_disrupted,dun_recovered,improvement_dun,cost_disrupted,cost_recovered,improvement_cost,energy_disrupted,energy_recovered,improvement_energy,reward,changed_routes,short_turn_routes_count,selected_routes_count,critical_routes_count,donor_routes_count,transfer_hubs_count,repaired_routes_count,failed_routes_count,inserted_existing_nodes_count,frequency_increase,frequency_increase_critical,frequency_reduction_donor,old_headway_min,new_headway_min,coverage_floor_percent,coverage_gap_before,coverage_gap_after,coverage_floor_reached,applied_for_coverage,att_delta_min,demand_share,critical_demand_share,donor_demand_share,assumed_affected_transfer_share,additional_vkm,additional_vh,additional_cost,additional_energy
S1_service,11,11,calibration,train,combined_disruption,central_area + central_area,moderate,greedy:continuity_repair+redundant_overlay_line,greedy:continuity_repair+redundant_overlay_line,2,"[""continuity_repair"", ""redundant_overlay_line""]",True,,,17.073833376077573,18.72686655765358,-0.09681675726624452,0.8910701548241601,1.314294760186119,0.4749621599047678,0.8772280003659938,1.2948918455424825,0.4761177766809,43.78320582762814,35.80803773288961,0.18215130536891902,28.3438160140747,0.0,1.0,30055.972131119102,36631.39258418567,-0.21877250964904119,,,,0.6135815129006164,,,,,,,,,,,,,,,0.0,28.3438160140747,0.0,True,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,12,12,calibration,train,area_closure,peripheral_area,mild,greedy:redundancy_restoration+redundant_overlay_line,greedy:redundancy_restoration+redundant_overlay_line,2,"[""redundancy_restoration"", ""redundant_overlay_line""]",True,,,17.463816978078835,17.27279630009126,0.010938082907496633,1.1086996377365073,1.188071384116603,0.071589945264291,1.09463719520162,1.16472172974989,0.06402535456997796,63.499973815210026,56.934751090255745,0.10338937688477796,6.902181515833906,6.380451368388431,0.07558916644666668,30468.91626036924,35906.46922900262,-0.17846230309497355,,,,0.13627096499989286,,,,,,,,,,,,,,,4.923924217630755,1.9782572982031512,1.456527150757676,False,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,13,13,calibration,train,combined_disruption,peripheral + peripheral_area,mild,greedy:continuity_repair,greedy:continuity_repair,1,"[""continuity_repair""]",True,,,17.90365960379329,18.511468673080234,-0.033948873176641824,0.7481138509589689,1.3522816427625546,0.8075880309248838,0.7469138529009871,1.3174163443967641,0.7638129742539457,61.93397349709583,45.159519824355,0.2708441381292515,28.099987459924044,4.692448667275024,0.8330088697026163,28951.97535381427,37038.047792847865,-0.2792925988716103,,,,0.9526592499294981,12.0,,,,,,15.0,0.0,17.0,,,,,,4.692448667275026,23.407538792649017,0.0,True,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,14,14,calibration,train,demand_surge,central_area,mild,greedy:corridor_relief,greedy:corridor_relief,1,"[""corridor_relief""]",True,,,17.66413813118502,16.981599042044824,0.03863981837501669,1.189955431441271,1.2366766397060975,0.039262990050171795,1.1756035339662247,1.2155335711321589,0.03396556408028059,69.33462547524401,64.99504777014255,0.06258889660622616,0.0,0.0,,32101.844943896358,33818.95506043014,-0.053489452694533146,,,,0.09146942043528666,,,,,,33.0,,,,,,,,,0.0,0.0,0.0,True,False,-0.35,,,,0.35,0.0,0.0,0.0,0.0
S1_service,15,15,calibration,train,link_failure,any_road,mild,greedy:full_structural_recovery,greedy:full_structural_recovery,1,"[""full_structural_recovery""]",True,,,17.38693880322794,17.390042386119724,-0.0001785008233425232,1.0074463530698285,1.2821032476542644,0.27262681903360736,0.9924291210566696,1.2625734479381017,0.2722051591894051,50.67388171218398,53.78257585159756,-0.06134706942464461,18.500013271742887,0.0,1.0,31892.23226243235,37786.36617881124,-0.18481409102623142,,,,0.4250211574165825,1.0,,6.0,,,,15.0,0.0,2.0,0.3,,,10.0,7.692307692307692,0.0,18.500013271742887,0.0,True,False,-0.5788761242750741,0.5016926410383974,,,,2597.2727854977325,102.67311312,3925.934264558186,3116.727342597279
S1_service,16,16,calibration,train,area_closure,central_area,mild,greedy:redundancy_restoration,greedy:redundancy_restoration,1,"[""redundancy_restoration""]",True,,,14.883881580610439,17.724049847696964,-0.1908217457727207,0.7695300830529332,1.3644969983504698,0.7731561486682138,0.7544340896079419,1.324919230922083,0.7561762507452521,31.93836902216489,53.23423523020645,-0.6667800160134182,41.149460400097695,0.0,1.0,29841.903613322782,38346.411440580065,-0.2849854331497969,,,,0.8194475753151991,6.0,,,,,,15.0,0.0,30.0,,,,,,0.0,41.149460400097695,0.0,True,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,17,17,calibration,train,area_closure,peripheral_area,severe,greedy:budget_neutral_reconfiguration+redundant_overlay_line,greedy:budget_neutral_reconfiguration+redundant_overlay_line,2,"[""budget_neutral_reconfiguration"", ""redundant_overlay_line""]",True,,,16.55300217268663,17.324668573854034,-0.04661791215376611,0.7604853515269494,1.0339953034980431,0.3596518347420152,0.7604853515269494,0.9942629976271462,0.3074058502649704,58.489116094750194,42.206495406183485,0.2783871902285114,29.597830321125972,20.945672658559673,0.292324051077172,26975.372881197396,34149.10490062257,-0.2659363431608196,,,,0.3826486237964797,,,,,,,,,,,,,,,20.815236534740755,8.782593786385217,0.13043612381891734,False,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,18,18,calibration,train,link_failure,any_road,moderate,greedy:full_structural_recovery,greedy:full_structural_recovery,1,"[""full_structural_recovery""]",True,,,17.813911550816293,17.07999778584882,0.041198911472861866,1.1373164822304134,1.232587605061021,0.0837683479657039,1.1220438935995634,1.2135367724771702,0.0815412653635981,72.24999802717345,63.96738307773873,0.11463827232659023,2.4673891755665065,0.0,1.0,31603.454341740726,38176.152908779375,-0.20797405549296746,,,,0.16583267736423793,2.0,,6.0,,,,15.0,0.0,4.0,0.3,,,10.0,7.692307692307692,0.0,2.4673891755665065,0.0,True,False,-0.5751766624593921,0.4984864407981397,,,,2582.204752890821,103.18154471999999,3923.031607272657,3098.645703468985
S1_service,19,19,calibration,train,node_removal,central,mild,greedy:redundancy_restoration+redundant_overlay_line,greedy:redundancy_restoration+redundant_overlay_line,2,"[""redundancy_restoration"", ""redundant_overlay_line""]",True,,,14.83179427293896,17.63204245877574,-0.18880036591027377,0.9264960797388824,1.3984975814194942,0.5094479210463985,0.9114788477257236,1.3637185158966827,0.4961603544606272,45.74999336412856,44.532608672258974,0.026609505321242392,26.054325189265814,0.0,1.0,30714.726515106115,38115.725748385536,-0.24095930756991965,,,,0.6190406527143207,,,,,,,,,,,,,,,0.0,26.054325189265814,0.0,True,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,20,20,calibration,train,link_failure,any_road,mild,greedy:full_structural_recovery,greedy:full_structural_recovery,1,"[""full_structural_recovery""]",True,,,17.813911550816293,17.07999778584882,0.041198911472861866,1.1373164822304134,1.232587605061021,0.0837683479657039,1.1220438935995634,1.2135367724771702,0.0815412653635981,72.24999802717345,63.96738307773873,0.11463827232659023,2.4673891755665065,0.0,1.0,31603.454341740726,38176.152908779375,-0.20797405549296746,,,,0.16583267736423793,2.0,,6.0,,,,15.0,0.0,4.0,0.3,,,10.0,7.692307692307692,0.0,2.4673891755665065,0.0,True,False,-0.5751766624593921,0.4984864407981397,,,,2582.204752890821,103.18154471999999,3923.031607272657,3098.645703468985
S1_service,21,21,calibration,train,link_failure,any_road,moderate,greedy:continuity_repair,greedy:continuity_repair,1,"[""continuity_repair""]",True,,,18.0234390353426,18.114531180614996,-0.005054093455403817,0.8927332273030507,1.205259138583243,0.35007760630164264,0.8898820348953121,1.1828757345605454,0.3292500445856307,68.3695341044336,67.6086758459302,0.011128615522539659,16.923911304583633,0.0,1.0,31099.72316345612,37749.55467142345,-0.21382285215262772,,,,0.5035601533872116,8.0,,,,,,15.0,0.0,10.0,,,,,,0.0,16.923911304583633,0.0,True,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,22,22,calibration,train,demand_surge,central_area,mild,greedy:corridor_relief,greedy:corridor_relief,1,"[""corridor_relief""]",True,,,17.66413813118502,16.981599042044824,0.03863981837501669,1.189955431441271,1.2366766397060975,0.039262990050171795,1.1756035339662247,1.2155335711321589,0.03396556408028059,69.33462547524401,64.99504777014255,0.06258889660622616,0.0,0.0,,32101.844943896358,33818.95506043014,-0.053489452694533146,,,,0.09146942043528666,,,,,,33.0,,,,,,,,,0.0,0.0,0.0,True,False,-0.35,,,,0.35,0.0,0.0,0.0,0.0
S1_service,23,23,calibration,train,combined_disruption,central + peripheral_area,severe,greedy:redundancy_restoration,greedy:redundancy_restoration,1,"[""redundancy_restoration""]",True,,,10.837826350563805,18.327520844288163,-0.6910698004803084,0.3082556641954037,1.3606498698037601,3.414030390504819,0.3082556641954037,1.2572792149985428,3.078689740479681,27.69130755972851,33.514754959035365,-0.2102987512144749,70.30586091230599,15.151871524752739,0.7844863667390122,24552.489873278995,37702.48890986157,-0.5355871890978356,,,,1.2600257210501224,13.0,,,,,,14.0,1.0,33.0,,,,,,14.248417691395927,56.05744322091006,0.9034538333568118,False,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,24,24,calibration,train,combined_disruption,central + any_road,moderate,greedy:continuity_repair,greedy:continuity_repair,1,"[""continuity_repair""]",True,,,14.66006374059117,19.0160460744443,-0.29713256442345287,0.9050409281721056,1.3618389928535812,0.5047264167423481,0.8900236961589467,1.3432249358133979,0.5092013185832248,44.03260113964814,39.9021621462632,0.0938041107379819,28.09780772329348,0.0,1.0,30678.96174865807,37251.91824024147,-0.2142496393924059,,,,0.5196882544340921,6.0,,,,,,15.0,0.0,30.0,,,,,,0.0,28.09780772329348,0.0,True,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,25,25,calibration,train,link_failure,any_road,moderate,greedy:continuity_repair+redundant_overlay_line,greedy:continuity_repair+redundant_overlay_line,2,"[""continuity_repair"", ""redundant_overlay_line""]",True,,,14.952818027427506,17.548192206149555,-0.17357090643124468,0.89607861086055,1.3218232791166673,0.4751197753144147,0.8810613788473912,1.3011053031852238,0.4767476300996601,43.20651764532021,45.70651943879897,-0.05786168221195535,28.923891217621424,0.0,1.0,30955.710283597644,36212.31251345234,-0.16981042210619185,,,,0.5647148107373846,,,,,,,,,,,,,,,0.0,28.923891217621424,0.0,True,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,26,26,calibration,train,link_failure,any_road,mild,greedy:corridor_relief,greedy:corridor_relief,1,"[""corridor_relief""]",True,,,17.78562822086469,17.11889572313423,0.037487149143728485,1.1976837951233477,1.2395365236811162,0.03494472307981608,1.1826665631101887,1.2185111137991766,0.030308247317590162,68.07606358671367,64.2065040148816,0.05684170570325526,0.0,0.0,,32101.844943896358,33818.95506043014,-0.053489452694533146,,,,0.08306130945618034,,,,,,33.0,,,,,,,,,0.0,0.0,0.0,True,False,-0.35,,,,0.35,0.0,0.0,0.0,0.0
S1_service,27,27,calibration,train,link_failure,any_road,moderate,greedy:full_structural_recovery,greedy:full_structural_recovery,1,"[""full_structural_recovery""]",True,,,18.030371665795506,16.963029364522082,0.05919691069365056,1.188691757799511,1.2544807785154077,0.05534573642344785,1.1736745257863521,1.233157228921882,0.05068074822163915,68.41301520367826,62.74997686412391,0.0827772072710789,0.29347769163499987,0.0,1.0,31974.156076459396,38381.57836602616,-0.20039378910407438,,,,0.13296661846813584,1.0,,6.0,,,,15.0,0.0,2.0,0.3,,,10.0,7.692307692307692,0.0,0.29347769163499987,0.0,True,False,-0.5739512432280471,0.49742441079764066,,,,2559.118598888963,100.589544,3857.9066711111705,3070.9423186667555
S1_service,28,28,calibration,train,node_removal,peripheral,moderate,greedy:full_structural_recovery,greedy:full_structural_recovery,1,"[""full_structural_recovery""]",True,,,16.84488231350547,15.819281888055816,0.060884986096185,0.9048325204483518,0.9446475666473236,0.044002669332931496,0.9011277417457046,0.9348857125326666,0.03746191491293402,66.09779194068035,62.1304160368567,0.0600228205411791,18.36959149575412,18.36959149575412,0.0,29615.311522479627,35694.48155729136,-0.2052711831242197,,,,0.0840249010154296,5.0,,6.0,,,,15.0,0.0,3.0,0.3,,,10.0,7.692307692307692,18.369591495754115,3.552713678800501e-15,3.552713678800501e-15,True,False,-0.6300910196710339,0.5460788837148959,,,,2648.0288613921393,103.56037199999999,3982.5097851137116,3177.634633670567
S1_service,29,29,calibration,train,demand_surge,peripheral_area,mild,greedy:corridor_relief,greedy:corridor_relief,1,"[""corridor_relief""]",True,,,17.891242908640876,17.238251517044638,0.03649782158403679,1.204402274955368,1.2420226997461263,0.031235763642303356,1.188806649266686,1.221099573812223,0.02716415202207765,66.9819610039053,63.521001166630036,0.05167002854803661,0.0,0.0,,32101.844943896358,33818.95506043014,-0.053489452694533146,,,,0.07575190653955317,,,,,,33.0,,,,,,,,,0.0,0.0,0.0,True,False,-0.35,,,,0.35,0.0,0.0,0.0,0.0
S1_service,30,30,calibration,train,combined_disruption,central + peripheral_area,moderate,greedy:redundancy_restoration,greedy:redundancy_restoration,1,"[""redundancy_restoration""]",True,,,15.00922624787708,18.076550848985622,-0.20436260673613252,0.8177726496071578,1.320125884293978,0.6142944923972953,0.8173392109975682,1.293083454959218,0.5820646281988608,44.975494484561416,47.81708804761603,-0.06318092987349011,28.132814597867327,1.8181801197600316,0.9353715529089697,28284.950212355816,37894.211683248424,-0.339730542169912,,,,0.649240480968266,9.0,,,,,,15.0,0.0,18.0,,,,,,1.8181801197600302,26.314634478107298,1.3322676295501878e-15,True,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,31,31,calibration,train,combined_disruption,central_area + peripheral_area,mild,greedy:budget_neutral_reconfiguration,greedy:budget_neutral_reconfiguration,1,"[""budget_neutral_reconfiguration""]",True,,,17.42835821179036,17.494043712502755,-0.0037688863124214363,0.6228191179405163,1.1552175561973672,0.8548203208940335,0.6228191179405163,1.1252897642061193,0.8067681800249308,51.107903477655306,35.849150008126855,0.2985595657665682,41.06373873521677,17.58130022513646,0.5718533975071657,25102.71648630459,32547.70794768673,-0.29658110768386114,,,,0.8656926703346834,14.0,,,,,,15.0,0.0,11.0,,,,,,17.581300225136456,23.482438510080318,3.552713678800501e-15,True,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,32,32,calibration,train,demand_surge,central_area,severe,greedy:corridor_relief,greedy:corridor_relief,1,"[""corridor_relief""]",True,,,17.35668104021893,16.634139934241492,0.041628990260474605,1.1703971265467377,1.2294390814017278,0.05044608664513186,1.1577290028029212,1.2079982519218235,0.04342056646866224,72.5196900189328,66.99062921823618,0.07624220124566373,0.0,0.0,,32101.844943896358,33818.95506043014,-0.053489452694533146,,,,0.1127479736816635,,,,,,33.0,,,,,,,,,0.0,0.0,0.0,True,False,-0.35,,,,0.35,0.0,0.0,0.0,0.0
S1_service,33,33,calibration,train,link_failure,any_road,moderate,greedy:continuity_repair+redundant_overlay_line,greedy:continuity_repair+redundant_overlay_line,2,"[""continuity_repair"", ""redundant_overlay_line""]",True,,,18.443972142419746,17.859654135845247,0.03168070316212479,1.1003414463877732,1.216094038814711,0.1051969757268829,1.097713878141749,1.2022254785009419,0.09520841672887835,76.94563391941834,68.51085305741506,0.10962000613103846,0.8913015562373964,0.0,1.0,31799.24486837392,34469.45648440397,-0.08397091273968335,,,,0.21786987482282616,,,,,,,,,,,,,,,0.0,0.8913015562373964,0.0,True,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,34,34,calibration,train,link_failure,any_road,moderate,greedy:corridor_relief,greedy:corridor_relief,1,"[""corridor_relief""]",True,,,17.78562822086469,17.11889572313423,0.037487149143728485,1.1976837951233477,1.2395365236811162,0.03494472307981608,1.1826665631101887,1.2185111137991766,0.030308247317590162,68.07606358671367,64.2065040148816,0.05684170570325526,0.0,0.0,,32101.844943896358,33818.95506043014,-0.053489452694533146,,,,0.08306130945618034,,,,,,33.0,,,,,,,,,0.0,0.0,0.0,True,False,-0.35,,,,0.35,0.0,0.0,0.0,0.0
S1_service,35,35,calibration,train,demand_surge,peripheral_area,mild,greedy:corridor_relief,greedy:corridor_relief,1,"[""corridor_relief""]",True,,,17.891242908640876,17.238251517044638,0.03649782158403679,1.204402274955368,1.2420226997461263,0.031235763642303356,1.188806649266686,1.221099573812223,0.02716415202207765,66.9819610039053,63.521001166630036,0.05167002854803661,0.0,0.0,,32101.844943896358,33818.95506043014,-0.053489452694533146,,,,0.07575190653955317,,,,,,33.0,,,,,,,,,0.0,0.0,0.0,True,False,-0.35,,,,0.35,0.0,0.0,0.0,0.0
S1_service,36,36,calibration,train,node_removal,central,mild,greedy:redundancy_restoration+redundant_overlay_line,greedy:redundancy_restoration+redundant_overlay_line,2,"[""redundancy_restoration"", ""redundant_overlay_line""]",True,,,14.869692031998165,17.791332164310855,-0.1964828946037079,0.9544392790827934,1.3114720137574194,0.3740759024688621,0.9394220470696342,1.2709355630855372,0.35289092591556964,46.53259575921185,56.80433648818208,-0.2207429128201338,24.01085700306829,0.0,1.0,31012.613342295343,36341.71731165966,-0.1718366624104015,,,,0.4141431627718527,,,,,,,,,,,,,,,0.0,24.01085700306829,0.0,True,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,37,37,calibration,train,link_failure,any_road,mild,greedy:corridor_relief,greedy:corridor_relief,1,"[""corridor_relief""]",True,,,17.78562822086469,17.11889572313423,0.037487149143728485,1.1976837951233477,1.2395365236811162,0.03494472307981608,1.1826665631101887,1.2185111137991766,0.030308247317590162,68.07606358671367,64.2065040148816,0.05684170570325526,0.0,0.0,,32101.844943896358,33818.95506043014,-0.053489452694533146,,,,0.08306130945618034,,,,,,33.0,,,,,,,,,0.0,0.0,0.0,True,False,-0.35,,,,0.35,0.0,0.0,0.0,0.0
S1_service,38,38,calibration,train,link_failure,any_road,moderate,greedy:continuity_repair+redundant_overlay_line,greedy:continuity_repair+redundant_overlay_line,2,"[""continuity_repair"", ""redundant_overlay_line""]",True,,,17.37745973592804,17.563198661049235,-0.010688496934749303,1.1268255616695044,1.3143332705145303,0.16640349245114258,1.1118083296563452,1.2916808475096953,0.16178374730197223,63.11955544683093,53.20651047140513,0.1570518820237272,6.869547376176433,0.0,1.0,31580.13276584268,35652.00468266353,-0.12893777068679763,,,,0.2982060487748641,,,,,,,,,,,,,,,0.0,6.869547376176433,0.0,True,False,0.0,,,,,0.0,0.0,0.0,0.0
S1_service,39,39,calibration,train,link_failure,any_road,mild,greedy:corridor_relief,greedy:corridor_relief,1,"[""corridor_relief""]",True,,,17.457126156700227,16.772651928034747,0.03920887221192309,1.1307350722247824,1.172587800782551,0.03701373521157441,1.116672629689895,1.1525171803788827,0.03209942622032558,64.46736191468928,60.5978023428572,0.06002354457985623,5.304364107755074,5.304364107755074,0.0,31696.385814671623,33413.495931205405,-0.054173688021520935,,,,0.08405884132374754,,,,,,34.0,,,,,,,,,5.304364107755071,2.6645352591003757e-15,2.6645352591003757e-15,True,False,-0.35,,,,0.35,0.0,0.0,0.0,0.0
S1_service,40,40,calibration,train,link_failure,any_road,mild,greedy:full_structural_recovery,greedy:full_structural_recovery,1,"[""full_structural_recovery""]",True,,,17.38693880322794,17.390042386119724,-0.0001785008233425232,1.0074463530698285,1.2821032476542644,0.27262681903360736,0.9924291210566696,1.2625734479381017,0.2722051591894051,50.67388171218398,53.78257585159756,-0.06134706942464461,18.500013271742887,0.0,1.0,31892.23226243235,37786.36617881124,-0.18481409102623142,,,,0.4250211574165825,1.0,,6.0,,,,15.0,0.0,2.0,0.3,,,10.0,7.692307692307692,0.0,18.500013271742887,0.0,True,False,-0.5788761242750741,0.5016926410383974,,,,2597.2727854977325,102.67311312,3925.934264558186,3116.727342597279
S1_service,41,41,calibration,train,link_failure,any_road,moderate,greedy:continuity_repair+redundant_overlay_line,greedy:continuity_repair+redundant_overlay_line,2,"[""continuity_repair"", ""redundant_overlay_line""]",True,,,17.86454101285631,18.277852570588674,-0.023135862121222244,0.9064397199590253,1.2273278754512291,0.35400937141932537,0.903812151713001,1.2143825738001235,0.3436227555676214,56.11955042509038,53.902165015829276,0.03951181704887177,20.956519618146853,0.0,1.0,31585.16642929102,34663.44990303433,-0.09745978323826754,,,,0.5072872673967118,,,,,,,,,,,,,,,0.0,20.956519618146853,0.0,True,False,0.0,,,,,0.0,0.0,0.0,0.0
